transaction_id,amount,payment_mode,merchant_category,dispute_reason_code,ip_shipping_match,failed_attempts_last_24h,account_age_days,past_dispute_count,is_vpn_used,is_chargeback_fraud
pay_00000000,803.9,UPI,GAMING,13.1_MERCHANDISE_NOT_RECEIVED,1,0,576,0,0,0
pay_00000001,4615.18,UPI,TRAVEL,13.3_NOT_AS_DESCRIBED,1,0,417,0,0,0
pay_00000002,2075.12,UPI,DIGITAL_SERVICES,10.4_FRAUDULENT_TRANSACTION,1,0,885,0,1,0
pay_00000003,1469.41,CREDIT_CARD,DIGITAL_SERVICES,13.3_NOT_AS_DESCRIBED,0,0,204,0,0,0
pay_00000004,354.44,UPI,RETAIL,10.4_FRAUDULENT_TRANSACTION,1,0,176,0,0,0
pay_00000005,354.39,NETBANKING,ELECTRONICS,10.5_VISA_EASY_PAYMENT,1,0,551,1,0,0
pay_00000006,189.76,UPI,RETAIL,10.4_FRAUDULENT_TRANSACTION,1,0,652,1,0,0
pay_00000007,3116.85,CREDIT_CARD,ELECTRONICS,10.4_FRAUDULENT_TRANSACTION,1,2,972,0,0,0
pay_00000008,1478.62,DEBIT_CARD,RETAIL,10.4_FRAUDULENT_TRANSACTION,0,0,651,0,0,0
pay_00000009,1946.88,DEBIT_CARD,RETAIL,10.4_FRAUDULENT_TRANSACTION,1,0,48,1,0,0
pay_00000010,131.2,NETBANKING,DIGITAL_SERVICES,10.4_FRAUDULENT_TRANSACTION,1,2,648,0,0,0
pay_00000011,5355.34,DEBIT_CARD,ELECTRONICS,13.1_MERCHANDISE_NOT_RECEIVED,1,0,819,0,0,0
pay_00000012,2779.64,NETBANKING,GAMING,10.5_VISA_EASY_PAYMENT,1,1,392,0,0,0
pay_00000013,458.03,UPI,GAMING,10.4_FRAUDULENT_TRANSACTION,1,0,613,0,0,0
pay_00000014,401.02,CREDIT_CARD,RETAIL,10.4_FRAUDULENT_TRANSACTION,1,0,241,2,1,0
pay_00000015,403.92,UPI,RETAIL,13.1_MERCHANDISE_NOT_RECEIVED,1,1,208,0,0,0
pay_00000016,644.13,UPI,DIGITAL_SERVICES,10.4_FRAUDULENT_TRANSACTION,0,1,484,0,0,0
pay_00000017,1215.89,UPI,ELECTRONICS,13.3_NOT_AS_DESCRIBED,1,2,896,0,0,0
pay_00000018,948.31,UPI,RETAIL,10.4_FRAUDULENT_TRANSACTION,1,1,722,0,0,0
pay_00000019,616.33,UPI,GAMING,13.1_MERCHANDISE_NOT_RECEIVED,0,0,620,0,0,0
pay_00000020,1519.56,UPI,ELECTRONICS,10.4_FRAUDULENT_TRANSACTION,1,3,341,0,0,1
pay_00000021,325.35,UPI,RETAIL,10.4_FRAUDULENT_TRANSACTION,1,0,68,0,0,0
pay_00000022,618.27,NETBANKING,ELECTRONICS,13.3_NOT_AS_DESCRIBED,1,0,370,0,0,0
pay_00000023,784.42,UPI,DIGITAL_SERVICES,10.4_FRAUDULENT_TRANSACTION,1,0,71,0,0,0
pay_00000024,1013.4,DEBIT_CARD,GAMING,10.5_VISA_EASY_PAYMENT,1,0,98,1,0,0
pay_00000025,2406.9,UPI,ELECTRONICS,13.1_MERCHANDISE_NOT_RECEIVED,0,0,994,0,1,0
pay_00000026,434.1,NETBANKING,GAMING,13.3_NOT_AS_DESCRIBED,1,0,621,0,0,0
pay_00000027,1183.04,NETBANKING,RETAIL,10.5_VISA_EASY_PAYMENT,1,1,164,0,0,0
pay_00000028,1446.26,CREDIT_CARD,TRAVEL,10.4_FRAUDULENT_TRANSACTION,0,0,869,0,0,0
pay_00000029,171.35,CREDIT_CARD,ELECTRONICS,13.3_NOT_AS_DESCRIBED,1,0,798,0,0,1
pay_00000030,1503.0,UPI,GAMING,10.4_FRAUDULENT_TRANSACTION,1,1,602,0,0,0
pay_00000031,380.44,WALLET,ELECTRONICS,13.1_MERCHANDISE_NOT_RECEIVED,0,0,396,0,0,0
pay_00000032,200.9,NETBANKING,RETAIL,13.1_MERCHANDISE_NOT_RECEIVED,1,0,75,0,0,0
pay_00000033,4560.53,NETBANKING,RETAIL,10.4_FRAUDULENT_TRANSACTION,1,0,29,0,0,0
pay_00000034,5155.95,CREDIT_CARD,GAMING,10.4_FRAUDULENT_TRANSACTION,1,0,515,0,0,1
pay_00000035,2578.5,UPI,DIGITAL_SERVICES,13.1_MERCHANDISE_NOT_RECEIVED,1,1,830,1,0,0
pay_00000036,644.93,NETBANKING,ELECTRONICS,13.3_NOT_AS_DESCRIBED,1,1,523,0,0,0
pay_00000037,254.17,UPI,ELECTRONICS,10.5_VISA_EASY_PAYMENT,1,0,73,0,0,0
pay_00000038,1829.13,CREDIT_CARD,RETAIL,13.1_MERCHANDISE_NOT_RECEIVED,0,0,218,0,1,0
pay_00000039,970.14,UPI,ELECTRONICS,10.4_FRAUDULENT_TRANSACTION,1,1,118,0,0,0
pay_00000040,295.23,NETBANKING,GAMING,13.3_NOT_AS_DESCRIBED,1,0,187,0,0,0
pay_00000041,1125.32,UPI,TRAVEL,13.3_NOT_AS_DESCRIBED,1,0,256,0,1,0
pay_00000042,152.49,UPI,RETAIL,10.4_FRAUDULENT_TRANSACTION,1,0,72,0,0,0
pay_00000043,3700.63,CREDIT_CARD,TRAVEL,10.4_FRAUDULENT_TRANSACTION,1,0,213,0,0,0
pay_00000044,549.19,DEBIT_CARD,ELECTRONICS,13.3_NOT_AS_DESCRIBED,1,2,72,0,0,0
pay_00000045,1729.38,CREDIT_CARD,DIGITAL_SERVICES,13.3_NOT_AS_DESCRIBED,1,1,810,0,0,0
pay_00000046,660.32,UPI,GAMING,10.4_FRAUDULENT_TRANSACTION,0,0,902,0,0,0
pay_00000047,1201.17,UPI,ELECTRONICS,10.5_VISA_EASY_PAYMENT,1,0,823,0,0,0
pay_00000048,1286.84,DEBIT_CARD,GAMING,13.1_MERCHANDISE_NOT_RECEIVED,1,0,978,0,0,0
pay_00000049,406.58,WALLET,ELECTRONICS,10.5_VISA_EASY_PAYMENT,1,0,262,0,0,0
pay_00000050,5339.21,DEBIT_CARD,ELECTRONICS,10.4_FRAUDULENT_TRANSACTION,1,0,277,0,0,1
pay_00000051,2338.37,UPI,ELECTRONICS,13.1_MERCHANDISE_NOT_RECEIVED,0,1,428,0,0,0
pay_00000052,4307.64,NETBANKING,RETAIL,10.4_FRAUDULENT_TRANSACTION,1,0,760,0,0,0
pay_00000053,3478.23,UPI,TRAVEL,13.3_NOT_AS_DESCRIBED,1,1,885,0,0,0
pay_00000054,1466.58,CREDIT_CARD,DIGITAL_SERVICES,10.4_FRAUDULENT_TRANSACTION,1,0,432,0,0,0
pay_00000055,3924.15,UPI,TRAVEL,13.3_NOT_AS_DESCRIBED,1,0,87,0,1,0
pay_00000056,238.98,UPI,TRAVEL,10.4_FRAUDULENT_TRANSACTION,1,0,932,0,0,0
pay_00000057,427.2,DEBIT_CARD,GAMING,13.3_NOT_AS_DESCRIBED,1,0,210,0,0,0
pay_00000058,169.42,CREDIT_CARD,RETAIL,10.4_FRAUDULENT_TRANSACTION,1,0,893,0,0,0
pay_00000059,690.3,UPI,RETAIL,10.4_FRAUDULENT_TRANSACTION,1,0,219,0,0,0
pay_00000060,838.2,UPI,ELECTRONICS,10.4_FRAUDULENT_TRANSACTION,1,0,941,3,0,1
pay_00000061,574.84,UPI,TRAVEL,10.4_FRAUDULENT_TRANSACTION,1,1,643,0,0,0
pay_00000062,2746.84,CREDIT_CARD,DIGITAL_SERVICES,13.3_NOT_AS_DESCRIBED,1,1,955,0,0,0
pay_00000063,761.84,UPI,GAMING,10.4_FRAUDULENT_TRANSACTION,1,0,250,0,0,0
pay_00000064,594.7,UPI,RETAIL,10.4_FRAUDULENT_TRANSACTION,1,1,780,1,0,1
pay_00000065,1273.61,CREDIT_CARD,ELECTRONICS,10.4_FRAUDULENT_TRANSACTION,0,0,84,1,0,0
pay_00000066,327.85,CREDIT_CARD,DIGITAL_SERVICES,13.1_MERCHANDISE_NOT_RECEIVED,1,3,19,2,0,1
pay_00000067,2530.73,DEBIT_CARD,TRAVEL,10.4_FRAUDULENT_TRANSACTION,1,0,535,1,0,1
pay_00000068,216.21,CREDIT_CARD,DIGITAL_SERVICES,10.4_FRAUDULENT_TRANSACTION,1,0,380,0,0,0
pay_00000069,6601.22,NETBANKING,RETAIL,13.1_MERCHANDISE_NOT_RECEIVED,1,0,389,0,0,0
pay_00000070,2319.23,NETBANKING,GAMING,13.1_MERCHANDISE_NOT_RECEIVED,0,0,563,0,0,0
pay_00000071,432.31,DEBIT_CARD,TRAVEL,13.1_MERCHANDISE_NOT_RECEIVED,0,1,915,0,0,1
pay_00000072,108.31,CREDIT_CARD,GAMING,10.4_FRAUDULENT_TRANSACTION,1,2,509,0,0,0
pay_00000073,2634.85,UPI,DIGITAL_SERVICES,10.4_FRAUDULENT_TRANSACTION,0,2,268,0,0,0
pay_00000074,1940.64,WALLET,DIGITAL_SERVICES,13.3_NOT_AS_DESCRIBED,1,0,92,2,0,0
pay_00000075,2058.49,UPI,ELECTRONICS,10.5_VISA_EASY_PAYMENT,1,2,697,1,1,1
pay_00000076,2312.82,UPI,TRAVEL,13.1_MERCHANDISE_NOT_RECEIVED,1,0,421,0,0,0
pay_00000077,215.39,UPI,DIGITAL_SERVICES,10.4_FRAUDULENT_TRANSACTION,0,0,290,0,0,1
pay_00000078,765.84,UPI,RETAIL,13.1_MERCHANDISE_NOT_RECEIVED,1,1,762,1,0,0
pay_00000079,284.73,WALLET,RETAIL,13.3_NOT_AS_DESCRIBED,1,0,80,0,0,0
pay_00000080,3082.79,CREDIT_CARD,GAMING,13.1_MERCHANDISE_NOT_RECEIVED,1,2,319,0,0,0
pay_00000081,1564.45,CREDIT_CARD,RETAIL,13.3_NOT_AS_DESCRIBED,1,1,885,0,0,0
pay_00000082,702.73,CREDIT_CARD,DIGITAL_SERVICES,10.4_FRAUDULENT_TRANSACTION,0,2,644,0,0,0
pay_00000083,198.5,UPI,RETAIL,13.1_MERCHANDISE_NOT_RECEIVED,1,0,438,0,0,0
pay_00000084,658.73,UPI,TRAVEL,13.1_MERCHANDISE_NOT_RECEIVED,1,0,879,1,0,0
pay_00000085,689.97,CREDIT_CARD,GAMING,13.1_MERCHANDISE_NOT_RECEIVED,1,2,234,0,0,0
pay_00000086,2061.81,DEBIT_CARD,TRAVEL,13.1_MERCHANDISE_NOT_RECEIVED,1,1,310,0,0,0
pay_00000087,1622.33,UPI,DIGITAL_SERVICES,13.1_MERCHANDISE_NOT_RECEIVED,1,0,6,0,0,0
pay_00000088,3373.38,DEBIT_CARD,DIGITAL_SERVICES,13.3_NOT_AS_DESCRIBED,1,0,391,0,0,0
pay_00000089,1058.6,UPI,RETAIL,10.5_VISA_EASY_PAYMENT,1,2,802,0,0,0
pay_00000090,291.06,UPI,ELECTRONICS,10.4_FRAUDULENT_TRANSACTION,1,0,68,0,1,0
pay_00000091,1973.69,UPI,ELECTRONICS,13.1_MERCHANDISE_NOT_RECEIVED,1,0,911,0,0,0
pay_00000092,2245.59,UPI,DIGITAL_SERVICES,10.5_VISA_EASY_PAYMENT,1,0,525,1,0,0
pay_00000093,1335.83,DEBIT_CARD,DIGITAL_SERVICES,10.4_FRAUDULENT_TRANSACTION,1,0,713,0,1,0
pay_00000094,2310.83,DEBIT_CARD,GAMING,10.4_FRAUDULENT_TRANSACTION,1,2,805,0,0,0
pay_00000095,1121.22,UPI,DIGITAL_SERVICES,10.4_FRAUDULENT_TRANSACTION,1,0,977,0,0,0
pay_00000096,1209.52,CREDIT_CARD,DIGITAL_SERVICES,10.4_FRAUDULENT_TRANSACTION,1,1,422,0,1,0
pay_00000097,936.72,DEBIT_CARD,GAMING,10.5_VISA_EASY_PAYMENT,1,1,718,0,0,0
pay_00000098,138.62,UPI,TRAVEL,10.4_FRAUDULENT_TRANSACTION,1,0,229,2,0,1
